17.893;59.385;38.4;21;46;583.2;412;839;12
17.893;59.394;28;28;28;503;503;503;12
17.895;59.358;43;41;48;1065.4;315;1253;25
17.895;59.393;28.4;28;30;801;621;1521;8.10810810810811
17.897;59.348;27.8;27;28;416;416;416;7.89473684210526
17.897;59.356;43.8;43;44;1686;1686;1686;10
17.897;59.359;43;41;48;1103.2;352;1291;25
17.897;59.392;30.2;29;32;796.2;269;1675;17.6470588235294
17.897;59.398;29;29;29;738;738;738;7.14285714285714
17.897;59.461;44.2;42;46;230;230;230;8.10810810810811
17.898;59.279;40;39;43;833;417;937;20
17.898;59.356;43;41;48;1301.4;375;1533;13.0434782608696
17.898;59.357;45.2;44;47;1415.8;279;1700;13.0434782608696
17.899;59.353;37.6;37;38;1080;1080;1080;17.6470588235294
17.899;59.357;46.2;44;49;1075.8;315;1691;23.0769230769231
17.899;59.359;44.4;43;47;1200.6;163;1460;20
17.899;59.455;41.4;40;43;370;370;370;8.10810810810811
17.900;59.379;22;22;22;621;621;621;10
17.901;59.355;42;38;50;1011.8;524;1303;18.75
17.901;59.356;42.4;40;50;1134.8;410;1316;25
17.901;59.360;43;38;46;482.4;441;510;17.6470588235294
17.901;59.363;40.2;34;44;329.6;304;368;15
17.901;59.397;27.8;27;28;496;496;496;12
17.901;59.398;28;28;28;581;581;581;7.14285714285714
17.902;59.355;36.8;36;37;1172;1172;1172;7.89473684210526
17.902;59.359;42.4;38;45;457;415;485;17.6470588235294
17.902;59.369;52.8;47;59;699.2;220;1422;12
17.902;59.387;24;24;24;919;919;919;10
17.902;59.396;24;24;24;261;261;261;6.38297872340426
17.902;59.398;29.8;29;30;626;626;626;12
17.903;59.398;30;30;30;677;677;677;7.14285714285714
17.904;59.287;38.2;38;39;1477;1477;1477;6
17.904;59.359;42;37;45;387.6;327;428;17.6470588235294
17.905;59.279;30.2;30;31;530;530;530;14.2857142857143
17.905;59.358;43;38;46;469.2;408;510;17.6470588235294
17.905;59.359;46;43;52;531;308;657;10
17.905;59.378;46;39;50;786.6;389;1105;15
17.905;59.476;34.3333;33;37;437.666666666667;159;575;15.6521739130435
17.906;59.376;27;27;27;1132;1132;1132;10
17.906;59.481;35;35;35;853;853;853;7.89473684210526
17.907;59.279;31.2;31;32;652;652;652;14.2857142857143
17.907;59.344;27;27;27;260;260;260;18.75
17.907;59.376;26;26;26;1104;1104;1104;10
17.907;59.377;47.4;41;51;882.2;485;1201;15
17.907;59.391;28.8;28;30;985;629;1519;17.6470588235294
17.908;59.354;38.2;36;40;737.2;246;1451;9.375
17.908;59.414;31.8;31;32;892;892;892;6.66666666666667
17.908;59.480;32;32;32;585;585;585;5
