2233375;2017-01-06;Samaritgränd 3;Södermalm;18.05513803;59.31645145;2;2;43;3350000;875000;4225000;2354;1175;1929;Lägenhet;ERA;1562;Broker
2235393;2017-01-06;Götalandsvägen 245;Älvsjö;18.00452113;59.2799362;1;1;39;1995000;555000;2550000;2190;6037;2008;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2236179;2017-01-06;Kungsholms Strand 171;Kungsholmen;18.02432142;59.33842932;2;1;35.6;2995000;355000;3350000;1832;2820;1930;Lägenhet;Fastighetsbyrån;1573;Broker
2225902;2017-01-06;Jungfrudansen 38;Jungfrudansen;17.98249086;59.34837885;2;2;60;2995000;255000;3250000;2234;4839;1971;Lägenhet;Edward & Partners Fastighetsmäklare AB;410;Broker
2234480;2017-01-06;Kronobergsgatan 41;Kungsholmen;18.03513527;59.33563614;2;1;35;2750000;775000;3525000;2614;2134;1926;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2220236;2017-01-06;Igeldammsgatan 38;Kungsholmen;18.02243198;59.33851201;2;1;40;2995000;705000;3700000;2167;2924;1930;Lägenhet;Hans Göthe Fastighetsbyrå AB;1586;Broker
2219814;2017-01-06;Duvgränd 4;Sundbyberg/Duvbo;17.9620805;59.36533918;3;1;78;5200000;-400000;4800000;4107;4127;1909;Lägenhet;Fastighetsbyrån;1573;Broker
2200064;2017-01-06;Emils gata 11A;Annedal;17.94845223;59.36263344;3;2;80;;NaN;3600000;4830;;2014;Lägenhet;Fastighetsbyrån;1573;Broker
2163829;2017-01-06;Hårdvallsgatan 11;Norra Djurgårdsstaden;18.0894346;59.35393999;2;4;49;3795000;80000;3875000;3241;886;2015;Lägenhet;Fastighetsbyrån;1573;Broker
2236172;2017-01-06;Karlsviksgatan 1;Kungsholmen;18.02788278;59.32943803;1;2;24;2395000;495000;2890000;1403;2412;;Lägenhet;Fastighetsbyrån;1573;Broker
2207506;2017-01-06;Gamla Enköpingsvägen 158;Rissne/Ursvik;17.9462;59.382;2;4;52;2350000;100000;2450000;2936;;2013;Lägenhet;Notar;1566;Broker
2228464;2017-01-06;Nybodagatan 5;Skytteholm;17.99165726;59.35700151;3;2;80;3695000;355000;4050000;3544;3858;1957;Lägenhet;MOHV;1901865;Broker
